ticker,as_of_date,entry_score,entry_signal,technical_score,valuation_score,risk_score,outcome_1m,outcome_3m,outcome_6m,outcome_12m,excess_1m,excess_3m,excess_6m,simulation_source,fundamentals_used,finra_observations_used
AAPL,2025-07-12,59.4,Watch,60.0,50.0,72.0,7.71,20.44,23.09,,5.74,12.520000000000001,11.15,manual,False,181
AMD,2025-07-12,71.9,Buy candidate,90.0,50.0,60.0,17.66,59.06,38.76,,15.69,51.14,26.82,manual,False,181
ASML,2025-07-12,70.8,Buy candidate,90.0,50.0,54.0,-9.83,22.58,59.54,,-11.8,14.659999999999998,47.6,manual,False,181
BTC-USD,2025-07-12,81.0,Buy candidate,100.0,50.0,80.0,-4.18,-1.26,-18.64,-41.49,-6.1499999999999995,-9.18,-30.58,manual,False,0
CRM,2025-07-12,31.9,Wait,10.0,50.0,61.0,-9.84,-4.77,1.06,,-11.81,-12.69,-10.879999999999999,manual,False,181
GLNG,2025-07-12,69.6,Watch,80.0,50.0,75.0,-1.57,-3.82,-3.34,,-3.54,-11.74,-15.28,manual,False,181
GOOG,2025-07-12,70.5,Buy candidate,80.0,50.0,78.0,11.21,33.71,81.82,,9.24,25.79,69.88,manual,False,181
IBM,2025-07-12,82.4,Buy candidate,100.0,50.0,87.0,-16.11,2.32,8.6,,-18.08,-5.6,-3.34,manual,False,181
IONQ,2025-07-12,69.2,Watch,90.0,50.0,47.0,7.49,85.36,18.27,,5.5200000000000005,77.44,6.33,manual,False,90
MSFT,2025-07-12,82.8,Buy candidate,100.0,50.0,90.0,3.67,3.96,-4.44,,1.7,-3.96,-16.38,manual,False,181
MU,2025-07-12,71.5,Buy candidate,90.0,50.0,57.0,-0.65,54.54,177.4,,-2.62,46.62,165.46,manual,False,181
NFLX,2025-07-12,81.9,Buy candidate,100.0,50.0,83.0,-2.15,-1.13,-28.15,,-4.12,-9.05,-40.089999999999996,manual,False,181
NVDA,2025-07-12,80.9,Buy candidate,100.0,50.0,80.0,10.39,16.77,12.1,,8.42,8.85,0.16000000000000014,manual,False,181
PLTR,2025-07-12,78.2,Buy candidate,100.0,50.0,64.0,28.56,30.52,24.9,,26.59,22.6,12.959999999999999,manual,False,114
QBTS,2025-07-12,68.7,Watch,90.0,50.0,43.0,17.29,136.8,89.8,,15.319999999999999,128.88000000000002,77.86,manual,False,70
RGTI,2025-07-12,65.5,Watch,90.0,50.0,26.0,31.2,286.78,102.96,,29.23,278.85999999999996,91.02,manual,False,80
SHOP,2025-07-12,75.4,Buy candidate,100.0,50.0,52.0,31.57,46.17,46.71,,29.6,38.25,34.77,manual,False,181
SNOW,2025-07-12,79.7,Buy candidate,100.0,50.0,74.0,-9.03,18.89,3.91,,-11.0,10.97,-8.03,manual,False,115
SPY,2025-07-12,85.0,Buy candidate,100.0,50.0,100.0,1.97,7.92,11.94,,0.0,0.0,0.0,manual,False,181
ZS,2025-07-12,74.8,Buy candidate,90.0,50.0,72.0,-6.41,8.79,-25.2,,-8.38,0.8699999999999992,-37.14,manual,False,175
AAPL,2025-07-13,59.4,Watch,60.0,50.0,72.0,7.71,20.44,23.09,,5.74,12.520000000000001,11.15,manual,False,181
AMD,2025-07-13,71.9,Buy candidate,90.0,50.0,60.0,17.66,59.06,38.76,,15.69,51.14,26.82,manual,False,181
ASML,2025-07-13,70.8,Buy candidate,90.0,50.0,54.0,-9.83,22.58,59.54,,-11.8,14.659999999999998,47.6,manual,False,181
